City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,5.53,96,100,6.73,GS,1712506152
1,port mathurin,-19.6833,63.4167,27.24,79,45,6.04,MU,1712506152
2,yellowknife,62.456,-114.3525,1.34,91,75,7.2,CA,1712506016
3,beloyarskiy,63.7119,66.6722,-3.33,75,100,5.81,RU,1712506153
4,port-aux-francais,-49.35,70.2167,5.24,69,100,6.04,TF,1712506153
5,talcahuano,-36.7167,-73.1167,13.94,69,90,3.65,CL,1712506153
6,port douglas,-16.4833,145.4667,26.88,76,99,1.22,AU,1712506153
7,moss bluff,30.3027,-93.1907,25.1,80,75,4.63,US,1712505877
8,brak,27.5496,14.2714,29.81,6,0,3.79,LY,1712506153
9,avarua,-21.2078,-159.775,25.03,94,100,1.03,CK,1712506153
10,cacheu,12.2706,-16.1658,39.88,13,79,3.18,GW,1712506153
11,talnakh,69.4865,88.3972,-7.66,93,100,6.68,RU,1712506154
12,adamstown,-25.066,-130.1015,22.82,75,32,4.35,PN,1712506154
13,margate,51.3813,1.3862,16.04,57,100,5.36,GB,1712506154
14,la chapelle-saint-mesmin,47.8865,1.8345,19.47,68,0,4.12,FR,1712506154
15,westport,41.1415,-73.3579,11.12,50,100,4.12,US,1712506097
16,papatowai,-46.5619,169.4708,8.79,96,100,2.42,NZ,1712506154
17,kokopo,-4.352,152.2633,25.27,91,100,4.16,PG,1712506154
18,nago,26.5881,127.9761,22.24,93,100,1.14,JP,1712506155
19,pariaman,-0.619,100.12,27.03,86,100,1.89,ID,1712506155
20,whitehorse,60.7161,-135.0538,-2.77,73,98,5.81,CA,1712506155
21,cabo san lucas,22.8909,-109.9124,22.51,74,75,2.06,MX,1712506116
22,tolanaro,-25.0319,46.9987,23.68,91,31,3.15,MG,1712506155
23,aasiaat,68.7098,-52.8699,-4.89,71,100,0.65,GL,1712506155
24,selfoss,63.9331,-20.9971,2.8,45,100,13.65,IS,1712506155
25,olonkinbyen,70.9221,-8.7187,-4.73,65,99,8.36,SJ,1712506155
26,konarka,19.9,86.1167,25.22,70,31,3.48,IN,1712506156
27,bethel,41.3712,-73.414,10.12,54,100,4.12,US,1712505977
28,ushuaia,-54.8,-68.3,8.81,49,40,8.23,AR,1712506005
29,al bardiyah,31.7561,25.0865,18.55,59,0,9.0,LY,1712506156
30,sinabang,2.4803,96.3801,26.95,85,99,1.37,ID,1712505937
31,ust-nera,64.5667,143.2,-17.55,100,65,1.37,RU,1712506156
32,north bellport,40.7743,-72.9429,10.75,56,100,5.66,US,1712506156
33,sisophon,13.5859,102.9737,30.36,64,10,4.06,KH,1712506156
34,sitka,57.0531,-135.33,5.94,61,100,6.69,US,1712506156
35,mirnyy,62.5353,113.9611,-5.43,83,100,4.47,RU,1712505943
36,stanley,54.868,-1.6985,12.77,66,20,11.83,GB,1712505859
37,kodinsk,58.6881,99.1844,-2.53,96,100,4.89,RU,1712506157
38,constantia,44.1833,28.65,15.39,86,42,3.65,RO,1712505872
39,chonchi,-42.6128,-73.8092,11.18,97,100,0.64,CL,1712506157
40,naze,28.3667,129.4833,19.7,94,100,2.76,JP,1712506158
41,college,64.8569,-147.8028,-0.52,68,75,1.54,US,1712505979
42,kapuskasing,49.4169,-82.4331,6.09,67,21,1.22,CA,1712506158
43,praia da vitoria,38.7333,-27.0667,17.64,90,84,5.65,PT,1712506158
44,waitangi,-43.9535,-176.5597,12.12,83,46,1.79,NZ,1712506122
45,san antonio de pale,-1.4014,5.6325,29.08,76,71,4.79,GQ,1712506158
46,yeed,4.55,43.0333,31.56,51,98,2.78,SO,1712506158
47,anadyr,64.75,177.4833,-20.56,83,0,5.0,RU,1712506158
48,isafjordur,66.0755,-23.124,-1.98,80,75,11.83,IS,1712506158
49,verkhovazh'ye,60.7472,42.0465,0.08,71,61,0.86,RU,1712506159
50,labrador city,52.9463,-66.9114,1.7,60,59,2.12,CA,1712506159
51,west island,-12.1568,96.8225,27.99,83,6,4.12,CC,1712506105
52,bilibino,68.0546,166.4372,-20.43,100,100,1.49,RU,1712506159
53,tarnogskiy gorodok,60.4997,43.5761,-1.99,85,53,0.57,RU,1712506159
